Label:none 		 Instruction:start 		 Operand:1000h 		 Comment:none
Label:st 		 Instruction:none 		 Operand:ldx 		 Comment:none
Label:none 		 Instruction:none 		 Operand:lda 		 Comment:none
Label:none 		 Instruction:none 		 Operand:addx 		 Comment:none
Label:none 		 Instruction:none 		 Operand:add 		 Comment:none
Label:none 		 Instruction:none 		 Operand:sta 		 Comment:none
Label:none 		 Instruction:none 		 Operand:hlt 		 Comment:none
Label:zero 		 Instruction:word 		 Operand:0 		 Comment:none
Label:wsz 		 Instruction:word 		 Operand:3 		 Comment:coment
Label:rez 		 Instruction:resw 		 Operand:1 		 Comment:none
Label:dat 		 Instruction:word 		 Operand:7 		 Comment:none
Label:none 		 Instruction:word 		 Operand:11 		 Comment:none
Label:none 		 Instruction:end 		 Operand:st 		 Comment:none
Label:none 		 Instruction:none 		 Operand:none 		 Comment:none
